Stadtname,31.12.2016,31.12.2017,31.12.2018,31.12.2019
Berlin,16125.0,23975.0,26535.0,28665.0
Cottbus,1890.0,2400.0,2370.0,2180.0
Potsdam,1210.0,1390.0,1660.0,1910.0
Oder-Spree,1070.0,1110.0,1155.0,1120.0
Oberhavel,835.0,805.0,810.0,770.0
Teltow-Fläming,840.0,755.0,705.0,715.0
Havelland,650.0,680.0,630.0,715.0
Brandenburg an der Havel,455.0,570.0,555.0,655.0
Barnim,755.0,515.0,620.0,645.0
Frankfurt (Oder),430.0,570.0,655.0,635.0
Prignitz,645.0,615.0,565.0,510.0
Märkisch-Oderland,535.0,445.0,475.0,500.0
Potsdam-Mittelmark,540.0,480.0,445.0,470.0
Oberspreewald-Lausitz,595.0,570.0,420.0,390.0
Uckermark,500.0,480.0,435.0,380.0
Dahme-Spreewald,525.0,430.0,350.0,345.0
Elbe-Elster,490.0,430.0,410.0,340.0
Ostprignitz-Ruppin,420.0,370.0,355.0,275.0
