AGS,AfD_%_2019,Stadtname
11000,14.2,Berlin
12051,21.5,"Brandenburg an der Havel, Stadt"
12052,26.8,"Cottbus, Stadt"
12053,24.5,"Frankfurt (Oder), Stadt"
12054,13.6,"Potsdam, Stadt"
12060,22.6,Barnim
12061,24.4,Dahme-Spreewald
12062,29,Elbe-Elster
12063,22,Havelland
12064,24.5,Märkisch-Oderland
12065,22.1,Oberhavel
12066,31,Oberspreewald-Lausitz
12067,26.5,Oder-Spree
12068,23.1,Ostprignitz-Ruppin
12069,17.8,Potsdam-Mittelmark
12070,22.6,Prignitz
12071,33.9,Spree-Neiße
12072,23,Teltow-Fläming
12073,26,Uckermark
