AGS,Stadt/Kreis,Insgesamt
11000,"Berlin, kreisfreie Stadt",3539
12051,"Brandenburg an der Havel, kreisfreie Stadt",3
12052,"Cottbus, kreisfreie Stadt",102
12053,"Frankfurt (Oder), kreisfreie Stadt",11
12054,"Potsdam, kreisfreie Stadt",50
12060,"Barnim, Landkreis",14
12061,"Dahme-Spreewald, Landkreis",20
12062,"Elbe-Elster, Landkreis",13
12063,"Havelland, Landkreis",20
12064,"Märkisch-Oderland, Landkreis",26
12065,"Oberhavel, Landkreis",31
12066,"Oberspreewald-Lausitz, Landkreis",21
12067,"Oder-Spree, Landkreis",94
12068,"Ostprignitz-Ruppin, Landkreis",16
12069,"Potsdam-Mittelmark, Landkreis",40
12070,"Prignitz, Landkreis",24
12071,"Spree-Neiße, Landkreis",0
12072,"Teltow-Fläming, Landkreis",33
12073,"Uckermark, Landkreis",27
